Q6P1D7	SLX4
P43508|P43509|P43507|P43510	cathepsin
8323	Fzd6
Q61093	NOX2::,Nox2
Q09490	LGG‐1::,LGG-1::,lgg‐1::,lgg-1
P46527	p27KIP1::,p27kip1::,CDKN1B
214189	secretagogin::,scgn::,Secretagogin
P60709	Actin::,actin::,ACTB::,β-actin::,Actb
P97414	Kcnq1
36760	ATPCL::,atpcl
P38304	Apg5p::,Apg10p::,myelin::,npc1::,L2A::,Htt::,PS1::,TLN::,nicastrin::,crmA::,TNFR1::,p55::,α-amylase::,Ref(2)P::,Bruce::,BAG3::,TRAIL::,Atg4B::,TGN46::,EGF::,dRagA::,Beclin1::,VCP::,p38IP::,RILP::,cortactin::,engrailed::,DHR3::,Bnip3::,Drpr::,Vti1b::,IRGM::,rep1::,SPBPB2B2.03c::,red1::,MDN1::,ras2::,actA::,IMC1::,TAB3::,IL-1β::,cyclin B::,ULK1::,SCOC::,FEZ1::,α-hemolysin::,Ret::,myosin VI::,CAMP::,TMEM59::,LC3A::,Epg5::,LRRK2::,EPG-7::,SQST-1::,Atg30::,PGL::,gba::,CA VII::,Mfn2::,PERK::,WASH::,PDI::,Miro::,msh-2::,BEC-1::,Fbxo7::,PlcA::,HBsAg::,PGL-1::,polyubiquitin::,Hace1::,β‐catenin::,Atg19::,ATPsyn-α::,spns1::,mdx::,WIPI1a::,WIPI2b::,NCOA4::,CTSD::,bp399::,MTM‐3::,ddm1::,secretagogin::,prk5::,Bcl-xL::,Bax::,Sox11::,Aβ::,APOE::,KSHV‐TK::,CrkII::,Noc::,Coi12p::,FKF1::,CDF1::,ATHB2::,Rab3Gap2::,Pfk::,IL-33::,Dusp5::,PCDH7::,mre11::,rpb1::,FXR::,AMPKα1::,HSF1::,GC‐G::,Mms2::,AMSH::,USP45::,CD25::,ATF6::,Sec23::,Yip1A::,Mfa1::,Phb2::,UGT87A2::,Ldha::,LDHA::,LGR5::,PR::,Tfn::,ATP8A1::,PRMT5::,MLC::,TFG::,Cacna1a::,NRBF2::,caspase-8::,ufd-2::,SOD1::,LSD1::,α-Spectrin::,COL7A1::,Dfmrp::,CCR9::,BDCA2::,CD138::,MDH2::,Plagl2::,Abca1::,Asm::,XBP-1::,TNF::,TTN::,Ttn::,53BP1::,Coq9::,Snc1::,Sec13::,Prkrir::,CycE::,Tnc::,LXRα::,periostin::,Dnmt2::,Sema3C::,AID::,p48::,Serpine1::,VEGFR-3::,LYVE1::,LATS1::,Rab8A::,Rab13::,Swi6::,dystrophin::,strophin c::,PTPRN2::,2d2::,KLF4::,Bmp6::,Syt11::,ral::,SLFN11::,DND1::,RPA1::,Bid::,CD11b::,CD69::,DCLK1::,PEX::,KIF1C::,RIG-I::,Dyn1::,Lyzs::,HKII::,VEGF-A::,NAT10::,LukS-PV::,LukE::,TRPV2::,atpcl::,PRP5::,Prp5::,snR81::,TPO::,Stat3::,LIF::,SMC3::,GADD45α::,Mis18::,Rnaseh2b::,FUNDC1::,Sld3::,Sld7::,Ubc9::,mdi::,Fus::,CtBP2::,Fibronectin::,NB-3::,INVS::,IGVL::,Sufu::,Ptch1::,Munc18-1::,VCAM-1::,p135::,miR-30c::,GADD45β::,SPOP::,SMCR8::,WRNIP1::,TGFR2::,Tom40::,miR-122::,CDC48::,doa10::,PD1::,Pou2af1::,USP19::,ERp57::,sur-5::,Snap29::,SNAP29::,FBW7α::,ATP7A::,OAT::,Heh2::,PIP1::,CERK1::,bactin::,igfbp1a::,RNF168::,PKCδ::,Aurora Kinase A::,c-Kit::,Hal::,CD34::,nat4::,fob1::,HIF-1::,Pfkfb3::,MCP-1::,Stag3::,IL-2Rα::,RBM15::,Sirt5::,HUWE1::,eNOS::,AIFM1::,GASZ::,Bach1::,Epo::,Gli2a
Q01604	z:
816436	FRK1
8290	Histone H3::,histone H3
18039	Nefl
Q9NS71|Q86XP6	GKN1/2
Q8R317	UBQLN1::,Ubqln1
7249	TSC2
Q61411|P32883	Ras
Q5I1X5	APG5::,phl::,nanos::,TIGAR::,TGN46::,E1::,SUPT5H::,Hla::,Atg36::,LC3A::,SQST-1::,phm8::,IFN-γ::,GRI::,Inn1::,NAV3::,Myc::,btn2::,SKAP55::,SLFN11::,TDP-43::,Pitrm1::,gTbr2::,Aurora B::,Grx1::,MCP::,ICP27::,miR-150::,HuR::,nat4
Q39243	NTR1::,R1
855625	ras2
P04797	GAPDH
987035	actA::,ActA
855053	msn2
23405	DAPK::,epsin 1::,HMGB1::,Red1::,SCOC::,GAL1::,TPI1::,Src::,Htt::,Epg5::,Ubqln4::,Rab12::,LC3B::,DICER::,MIC1::,ACS2::,Nox2::,WIPI2b::,NCOA4::,TFEB::,BiP::,Bax::,Inn1::,CrkL::,SC35::,IL-33::,TNF-α::,NRPD1::,PTB::,Tfn::,Rho::,Pfk1::,Cyclin D1::,pep4::,ypt1-1::,LIG4::,Pgk1::,Mac2::,Dnmt2::,PlexinD1::,gephyrin::,PTPRN2::,UnaG::,Ang-2::,Syt11::,RPA2::,TAg::,TFE3::,OTUB1::,Wbp2::,Wnt-3a::,SCF::,Nanog::,MAP-2::,PTPσ::,NB-3::,RNAseHI::,h3.3::,miR-30c::,Drp1::,FUS::,AKT1::,CAT-1::,B220::,CXCR5::,cycb1;2::,FBW7::,FBW7α::,VPS4B::,HGF::,Dicer::,Tbr2::,IL-8::,UNC-59::,Chs5::,MILI::,quantitative RT-PCR::,dsi::,Prox1a
Q12778	FOXO1::,Foxo1
D4A9M7|D3ZFK6	Atg16
P0A7Y4	RNAseHI
Q8R429|O55143|Q64518	SERCA
Q39026	MPK6
P04843	Rpn1
P16422	EpCAM::,Epcam::,EpCam
Q86UE8	Tlk2
Q9QXE7	TBL1
P70335	ROCK1
856450	Cup1
285973|79065	Atg9
P10276|P13631|P10826	retinoic acid receptor
12176	Bnip3::,BNIP3
P35583	Foxa2::,FOXA2::,FoxA2
P17844	DDX5
Q15329	E2F5
Q94521	NAT1
326974	GABARAP
G7PQ03	CD20
156110	Nef
P06684	emerin::,LAMP::,Syntaxin 5::,TAB2::,myosin VI::,Tom1L2::,FOXO3a::,ATG16L1::,Glycogen synthases::,ach1::,TFEB::,DTS::,GC‐G::,USP2::,ATP8A1::,Trf1::,Tsc22d1::,CD68::,LXRα::,YAP::,dystrophin::,fkh::,KIF1B::,IL-6::,Tom22::,VEGF-A::,C5b-9::,FBXO5::,TRPV2::,ZEB1::,FoxM1::,Stat3::,core::,U11::,PIP1::,bud7
2908	Nr3c1::,NR3C1
5777	SHP1
Q9Y6H5	Sph1
850342	Leu::,leu2
P62979|P0CG47|P0CG48|P62987	Ub::,ubiquitin
51726	ERdj3
P57678	GEMIN4
21823	PtdIns 3‐kinase::,TGN38::,apg12::,Apg12p::,apg16::,apg10::,npc1::,p27KIP1::,ccc1::,Alfy::,PS1::,ERGIC-53::,EEA1::,TLN::,DRP-1::,DAPk::,α-amylase::,fem-1::,bec-1::,β2::,UBQLN2::,BAG3::,TRAIL::,dRagC::,RagA::,lamin A/C::,p38IP::,FYCO1::,BIK::,dS6K::,DHR3::,MuRF‐1::,HMGB1::,IRGM::,NOX2::,eis::,nestin::,Sqh::,Atro::,Wts::,ft::,red1::,Mmi1::,Red1::,SUMO2::,SUMO::,npr2::,inlK::,MVP::,Beclin-1::,BI‐1::,BCL‐XL::,TAB2::,TAK1::,M45::,deg‐3::,AMBRA1::,SCOC::,FEZ1::,LC3B::,p24::,GAL1::,Bim::,Ape1::,VDR::,MCU::,NS5A::,LC3A::,ATG16L1::,Epg5::,TH::,KFERQ::,JFH1::,Jc1::,epg-7::,EPG-7::,SQST-1::,LGG-1::,W07G4.5::,CREST::,Ubqln1::,PSA::,NCAM::,PAT4::,Atg30::,miR-212::,RARα::,gba::,SNX18::,ROCK::,ROCK1::,Mdm2::,survivin::,Atg14L1::,FIP200::,UVRAG::,Pho8::,atg38::,msh-6::,IL‐8::,HBsAg::,MyD88::,M2AP::,CD40::,ULK1::,Pex8::,H3R::,p22phox::,TCF4::,ACS2::,Atg19::,VPS35::,Dcp-1::,SesB::,pyruvate dehydrogenase::,bcy1::,pnp1::,invG::,spns1::,Spns1::,Src::,WIPI2b::,Atg16L2::,REST::,bovine serum albumin::,atg19::,TFEB::,LGG‐1::,NFAT1::,CD45.1::,Gzmb::,ERdj3::,GRI::,Bak::,CDC14::,RBM14::,centrin-2::,NotI::,ID1::,Id1::,nompA::,NompA::,Clc::,Ctns::,Aβ::,IRS-1::,Cx3cr1::,IBA-1::,Fas::,HNF4::,KSHV‐TK::,CrkI::,p48::,Twi1p::,GIW1::,cca1::,CO::,DTS::,IL-33::,Dusp5::,USP45::,LCK::,Sec24D::,Yip1A::,Phb2::,PrP::,Dgcr8::,Wnt4::,Raver1::,EHD1::,PRMT5::,Gnd1::,myosin IIA::,cac::,GRK5::,CCL25::,TRA‐1‐81::,cKIT::,GOT2::,MDH2::,SIRT3::,Ncoa5::,α5 integrin::,β1 integrin::,sst1::,PD-1::,BNIP3::,miR-203::,ZEB1::,TTN::,Smad6::,IFN-β1::,Ccnd1::,DDX3::,Coq9::,atg11::,ypt1-1::,Snc1::,Kar2::,pep4::,IL-6::,DEC::,lro1::,Tex11::,LXRα::,UBE2D3::,CUL3::,KLHL3::,AID::,Pdgfb::,Sema3A::,CD31::,VEGF-C::,YAP::,MICA::,NKG2D::,Siglec‐14::,SIGLEC14::,Mapt::,gephyrin::,CFL1::,2d2::,CD11c::,CD4::,IAb::,Claudin5::,CCM1::,AMOTL2::,RPA2::,SLFN11::,DND1::,PARD6G::,Raf-1::,Tie2::,CTCF::,CD45::,Tet1::,TRAPPC8::,nMyc::,FoxA2::,EB3::,FRB::,KIF5B::,RIG-I::,Bax::,Tom22::,Dyn1::,ALT::,p38γ::,OTUB1::,KRAS::,NLRP3::,CASP1::,STAT2::,NAT10::,Cas9::,LukE::,HlgA::,CDH1::,TRPV2::,MKKK7::,Prp5::,KLF5::,ELF3::,FoxM1::,GSK3α::,ICAT::,Stat3::,LIF::,Activin::,SMC3::,Tead3::,MARK4::,miR-515-5p::,TrkB::,Erk1::,eIF4A::,COX4::,tamas::,NB-3::,BLBP::,h3.3::,Mdy2::,p150::,p135::,miR-29b::,db::,G45b::,Rab34::,RILP::,β2AR::,ICP27::,CLU::,Dio2::,uPAR::,ter1::,Ams1::,TGN46::,Tgfβ1::,Fstl1::,AKT3::,HuR::,Rab1a::,Cdc48::,DGA1::,Pgc1::,CXCR5::,Pou2af1::,CPAP::,ODF2::,ERp57::,pqm-1::,PTPIP51::,STIL::,cycb1;1::,Snap29::,UbcH3::,LUBEL::,HEH2::,MAPKKK5::,DNGR-1::,NTR::,igfbp1a::,ins::,H2AX::,junD::,ARSA::,PKCδ::,MET::,Esrra::,Flk1::,CD34::,Prom1::,CARD14::,Stag3::,Smc1β::,Sept2::,cytocrome c::,SIRT5::,PCNA::,HUWE1::,BCH2::,Chs3::,GASZ::,ML1::,S6::,EpoR::,pericentrin::,Aurora A::,ATM::,PALB2::,fft3::,fft2::,CD44::,miR-10b::,PTEN
22695	proaminopeptidase I::,DRP1::,dTSC2::,Jumpy::,LC3B::,Atg16L1::,dBruce::,Sqa::,TRAF2::,IL‐1β::,RM45::,SNT‐1::,SCOC::,WAC::,myosin-VI::,LAMP-2::,ATG9B::,let‐60::,MelanA::,ROCK1::,Beclin1::,KAP::,ZFP36::,PI3K p110α::,ATG16L::,bovine serum albumin::,CDC14::,CP110::,cay1::,Cdh1::,HRas::,Cx3cr1::,FT::,FXR::,NFATc2::,Phb2::,R‐spondin::,Matrin3::,ω-Aga TK::,Ang1::,YPT1::,CUL3::,KLHL3::,AID::,SHP‐1::,FOSL2::,ERK5::,TRA98::,TRAPPC8::,calreticulin::,catalase::,Lyzs::,PAQR3::,miR-10b::,ABCB8::,Cas9::,snr81::,INVS::,Scs2::,β2AR::,SPOP::,Mge1::,ypt7::,Ape1::,S100a4::,Pou2af1::,cycb1;3::,Snf7::,pdx1::,junD::,Flk1::,HUWE1::,GASZ::,Dln1
40835	Hu
1460	CK2β
2539	G6PD
4893	NRAS
P50232	Syt4
79621	Rnaseh2b::,RNASEH2B
289754	XBP1::,Xbp1
3772245	tRNAAla
Q6P5H2	nestin::,Nestin
P57774	NPY
P10176|Q7Z4L0	Mito
8200351	Atg30::,atg30
P60521|P60520	GATE‐16
26018	Lrig1
Q15562	TEAD2
O75874	IDH1
Q9BQE3|P68363|Q71U36	tubulin
P27694	RPA1
406882|406883|406881	let-7a
P97432	NBR1::,nbr1::,Nbr1
Q61660	Foxj1::,FOXJ1::,FoxJ1
P31749|P31751|Q9Y243	PH::,Akt::,AKT::,t(
18667	PR::,Pgr
3125	drb3)
O95999	BCL10
6610	SMPD2
53567	Larp::,larp
Q8CG46	SMC5
5479	CyclophilinB
Q61549	PPCA::,aut2::,apg16::,apg12::,ADE2::,F4/80::,L2A::,ccc1::,CHMP2B::,TLN::,elav::,UBQLN2::,TAK1::,β′-COP::,dRagA::,RagC::,TIGAR::,p38IP::,p38α::,HDAC6::,htt::,daughterless::,DHR3::,cholera toxin::,ULK1::,HMGB1::,Hmgb1::,hIFN-γ::,eis::,SIRT1::,d::,Hsp70::,Red1::,Map1lc3b::,PMP70::,Jnk2::,Ikkβ::,IMC1::,SMURF1::,BI‐1::,GRASP55::,TAB2::,TAB3::,IL-1β::,RM45::,CK2α::,CK2β::,FEZ1::,p24::,Atg11::,Src::,Bim::,ALP::,CD16::,epg-6::,unc-51::,Ripk2::,atg30::,ain‐1::,MAP2::,CerS1::,EndoH::,lamin B1::,ROCK1::,XIAP::,Mdm2::,Atg18::,lamin A/C::,ACAA1::,EEA1::,Atg16L1::,WASH::,rBeclin 1::,Atg38::,GlyPi::,msh-6::,ATF-2::,lysozyme::,EGF::,dnm1::,H3R::,Hace1::,HACE1::,hNDP52::,mNDP52::,ubiquitylated::,Atg34::,VPS26::,WASH1::,Dcp-1::,Lon::,invG::,OFD1::,Gla::,Atg19::,TFEB::,bp399::,H-2Db::,ERdj3::,oxytocin::,somatostatin::,GRI::,cdc14::,RBM14::,STIL::,Rap1::,rap1::,Id1::,nompA::,GNL2::,dlrrk::,KSHV‐TK::,RhoA::,β5i::,CDF1::,Rab3Gap2::,CD69::,PCDH7::,Rad53::,PMA1::,FXR::,GC‐G::,UBE2D1::,THEMIS::,Mfa1::,TLR9::,EN::,miR‐290::,Dgcr8::,LGR5::,LRP6::,RANKL::,PR::,Matrin3::,PTB::,EHD1::,STELLA::,ubr1::,Hsp42::,TFG::,Sec16A::,Rubicon::,CACNA1A::,SOD1::,UBE4B::,βH-spectrin::,β-spectrin::,COUP-TFI::,KCNJ3::,PlGF::,ABL::,survivin::,NUMA::,Ccno::,Spitz::,Ref(2)P::,GRX2::,Asm::,SKAP55::,Snail::,Snai1::,Foxa2::,Gpx1::,MuSK::,NE::,TNF::,Ttn::,MyD88::,TGF-β1::,PARP1::,Adck3::,atg18::,ypt1-1::,Sec13::,PRB1::,γ-H2AX::,Trf1::,miR-511::,Pgk1::,TGF-β::,PRKRIR::,MEK1::,Braf::,Tenascin-C::,Tsp1::,LXRα::,Catnb::,CUL3::,p48::,NG2::,IgG2a::,NRP1::,Sema3A::,SCP3::,B220::,LYVE1::,YAP::,TGF-α::,AREG::,swi6::,NCL::,Mapt::,Rpp30::,NURR1::,TUJ1::,calbindin::,UnaG::,2d2::,Csf2::,CD11c::,CHCHD10::,KLF4::,Erk5::,Syt11::,exo84::,SLFN11::,HSP22.0::,TBPH::,Bid::,Bax::,B-Raf::,Tie2::,CD4::,TRAPPC4::,cMyc::,MAP1B::,Dyn1::,Timp1::,Lyzs::,ERK1/2::,miR-10b::,Wbp2::,cym1::,VEGF-A::,CASP11::,IRF9::,Stat1::,PBIP1::,gTbr2::,HlgCB::,LukD::,DP1::,acetyl-CoA::,mkkk7::,FRK1::,FoxM1::,Cyclin D1::,LIF::,Stat3::,SMC3::,sororin::,IGF-I::,IFT57::,MTCO-1::,PGC-1β::,miR-515-5p::,Rnaseh2b::,FIP3::,CA IX::,Ubc9::,Fus::,INVS::,AID::,Rad23::,Mdy2::,MALAT1::,DDX6::,p150::,Aquaporin 4::,Nemo::,FABP1::,G45b::,ER::,GluA1::,Nap1::,WRNIP1::,BRCA2::,TGFR2::,TGF::,Dio2::,VN::,uPA::,Tom40::,ter1::,Ams1::,NF-κB::,RAB2A::,IL-12::,TBX21::,HuR::,Aldolase::,Chaperonin::,Rab1a::,Hcp1::,doa10::,are1::,CXCR5::,PTPIP51::,mitofusin-2::,FUS::,GSDMD::,ABH1::,CP110::,KNL1::,OTULIN::,Mef2::,chm7::,heh1::,Nup49::,mapkkk5::,MAPKKK5::,PBL27::,DNGR-1::,igfbp1b::,igfbp1a::,Nfe2l2::,H2AX::,junD::,caspase-3::,MET::,Flk1::,POLD4::,Ago2::,CARD14::,MALT1::,Stag3::,X-chromosomes::,UBQLN4::,ORP5::,Sept2::,Sept7::,HUWE1::,Alas2::,EpoR::,KV10.1::,BLM::,fft3::,RHOC
P01325|P01326	proaminopeptidase I::,aut2::,APG5::,IP3 receptor type I::,cholera toxin::,clathrin heavy chain::,ft::,cathepsin B::,BCN1::,Tom1::,epg-7::,Ubqln4::,RARα::,Beclin1::,Catalase::,Ambra1::,WASH::,ERK2::,H3R::,GSK-3β::,HACE1::,Dcp-1::,Comp V β::,GL1::,Bcl-xL::,Id1::,dlrrk::,PR-SET7::,p85::,PCDH7::,Yip1A::,Igf1r::,EN::,PrP::,Dgcr8::,Expanded::,COL7A1::,TRA‐1‐81::,Ccno::,Centrin::,LXR::,miR-210::,STRA6::,γ-H2AX::,Kcnq1::,p48::,Sema3a::,Swi6::,FOSL2::,Pep2::,CD11c::,Ang-2::,ade6::,YAP::,DCLK1::,TESK1::,Plk4::,IFNβ::,E2F7::,Cd36::,h3.3::,GluA1::,a2AP::,U11::,SOX9::,DDX5::,F9::,p21::,Gpr124::,IL-2Ra::,Sec61β::,EpoR
4854	NOTCH3::,Notch3
40016	skl
Q08849	STX3
P20722	Bmp6::,BMP6
P25208	NF-YB
43573	rp49
Q02748	eIF4A
100124488	miR-511
407042	Tub2p::,dTOR::,Hrs::,TLN::,DAPk::,TNFR1::,DRP-1::,SipD::,sipD::,OPA1::,Transferrin::,MTMR2::,FYCO1::,BIK::,S6K1::,Rb::,eis::,MCL‐1::,Sqa::,Sqh::,Yki::,WDR18::,PELP1::,hVps34::,Smurf1::,dBI‐1::,TAB2::,IL-1β::,WAC::,Hla::,Ret::,Bim::,DFCP-1::,CD-M6PR::,EPG-7::,LGG-1::,Ubqln4::,Nod2::,Atg11::,Gal4::,nsP3::,dcr‐1::,gba::,GABARAP-II::,FKBP::,XIAP::,Uba1::,EHHADH::,ATG16L1::,p115::,CLS::,HtrA2::,da::,PlcA::,EGF::,PPP2R1A::,Pex8::,PDH E2/E3bp::,Cx43::,nos::,MPP::,pnp1::,phm8::,spns1::,mdx::,WIPI2b::,spr4::,GL1::,TFEB::,hsp‐4::,VAMP2::,Dendra-tau::,RCAN1::,ddm1::,AVP::,Bax::,Clb2::,RBM14::,STIL::,snu6::,HA::,Ctns::,IBA-1::,ApoE::,RhoA::,Ltbr::,noc::,DOG1::,α7::,Dusp5::,HSF1::,AMPKα1::,OTULIN::,SHP1::,PERK::,STAMP2::,LDHA::,LGR5::,EHD1::,ATP8A1::,cKIT::,Sec23A::,cac::,DC‐SIGN::,karst::,Ccno::,Shi::,rdgC::,Dgcr8::,miR-210::,GRX2::,GLUT1::,PECAM::,Asm::,granzyme B::,miR-203::,Lgr5::,MuSK::,CCL2::,Ttn::,γH2AX::,Atg19::,IFN-α::,TGF-β::,Iba1::,Ctgf::,CUL3::,p48::,Vegfd::,YAP::,IL-2::,Hsp70::,Rpp30::,Aub::,FMR2::,gephyrin::,strophin a::,FOXA1::,PTPRN2::,Pep2::,Ccl5::,Mef2A::,hip1::,PUMILIO1::,DND1::,Lamin B2::,Braf::,VDAC3::,CD22::,CTCF::,nMyc::,NPY::,KIF1C::,HDAC6::,RIG-I::,Rad50::,DNase I::,4EBP1::,TAZ::,miR-10b::,CtBP2::,VEGF-A::,VMD2::,CD31::,Stat1::,NAT10::,FoxM1::,USP5::,ICAT::,Mpl::,Stat3::,SRSF1::,Gata6::,Yap1::,TrkB::,Rnaseh2b::,Rac1::,FUNDC1::,eIF4A::,Fus::,NB-3::,CHL1::,AID::,Rad23::,Scs2::,synapsin::,Rab34::,α11.2::,SPOP::,WDR41::,Sqstm1::,CLU::,Prdm16::,uPAR::,uPA::,PAI-1::,Ape1::,U11::,Fstl1::,HuR::,Pou2af1::,TUJ1::,dop-1::,CDKA;1::,CREST::,Dlg::,SOX9::,DIS3L2::,JAM-A::,PBL27::,ins::,junD::,caspase 3::,Aurora kinase A::,DP1::,HIF-1α::,REC8::,stem cell factor::,G6PD::,HUWE1::,NF-YB::,Chs5::,Asf1A::,ptch2
P00401	cytochromes c
P04585	CaM::,DHPR::,mec‐4::,POMC::,EGF::,Muc2::,EEA1::,ACS2::,invG::,TDP43::,rpl‐43::,CD218::,H-2Db::,CDC14::,Clb2::,C-Nap1::,LAMP2B::,Rag2::,VHL::,GAL-3::,Snai1::,AChRγ::,IκBα::,vps21::,CFL1::,ATF6::,FRB::,vinculin::,CD61::,LIF::,Uba2::,VS w::,G45b::,α11.2::,TGFβ::,Pgc1::,TOM70::,mapkkk5
855742	lro1
Q94F62	BAK1::,BKK1::,bak1
P55317	GATE‐16::,TLN::,bag3::,β′-COP::,atrogin‐1::,MuRF‐1::,drpr::,BAX::,rep1::,bi‐1::,rip1::,M45::,Hla::,Ret::,ypt7::,LAMP-1::,SNX18::,Beclin1::,Sec61β::,GEMIN4::,caspase-3::,Fbxo7::,WIPI‐2::,MYC::,HACE1::,β‐catenin::,rNDP52::,Pot1::,SesB::,Dcp-1::,spns1::,Atg19::,FUNDC1::,RBM14::,centrin-2::,Rap1::,Tb::,Ctns::,Aβ::,ApoE::,noc::,Orc2::,IFN-γ::,fkf1::,Dusp5::,rpb1::,GC‐A::,USP15::,Dgcr8::,NFATc2::,OCT4::,Cacna1a::,UBE4B::,COUP-TFI::,KCNJ3::,PD-L1::,ZEB::,AChRα::,MuSK::,53BP1::,pep4::,HI0629::,Npc2::,Smad3::,LXRα::,Bnp::,N8::,VEGF::,FOXA1::,DTX::,Ccl2::,desmin::,CHCHD10::,AMOTL2::,ral::,APX2::,CD22::,TRAPPC4::,IL-6::,B2m::,RUNX1::,NRAS::,OTUB1::,miR-10b::,VEGF-A::,Cas9::,Prp5::,LIF::,PGC-1β::,Tead1::,Yap1::,MARK4::,FIP3::,MCU::,Tuba4a::,NB-3::,GADD45β::,β2AR::,SEPT7::,AAC::,ter1::,RAB42::,IL-12::,miR-122::,HuR::,Rab1a::,Pou2af1::,USP19::,Ofd1::,cycb1;2::,NS1::,PBL27::,bactin::,H2AX::,CNPase::,ARSA::,Ago2::,Gemc1::,HIF-1α::,REC8::,UBQLN1::,SIRT5::,HUWE1::,Chs5::,Trpml1::,EpoR::,Smo::,Aldh1l1
P04551	Cdc2
P34152	FAK
112400	apg16::,Apg5p::,DR3::,TLN::,FEZ1::,epg-7::,lgg-1::,Rab12::,LAMP-2B::,NTR1::,PTB::,hsp42::,GOT2::,pep4::,PTPRN2::,ULK1::,AMPK::,OTUB1::,AGO2::,NEMO::,Ape1::,GSDMD::,ABH1::,Gemc1::,SNAIL
Q12756	KIF1A
Q6DRM0	ULK2::,ULK1::,DHPR::,ARL8B::,SMURF1::,FEZ1::,ATG36::,Ubqln4::,Rab12::,PrP::,SH3PX1::,WASH::,tkl1::,Bak::,Upf1::,Mcm2::,Dusp5::,PMA1::,FXR::,Syk::,Car::,TH::,TRAIL::,Tlr9::,LXRα::,casp3::,Sema3A::,VEGF-D::,CD28::,SLFN11::,Bax::,PRP5::,LIF::,Rnaseh2b::,FUNDC1::,Tuba4a::,PEN-2::,WRNIP1::,HuR::,Mavs
Q12983	Bnip3::,BNIP3
901176	Cas9
Q62108	PSD-95::,PSD95::,Psd-95::,Psd95
836819	mapkkk5::,MAPKKK5
Q07436	Expanded::,Ex::,expanded::,ex
225997	Trpm6
Q13615	MTMR3
27063	ANKRD1
12683	Cidea
21678	Tead3
1487343	ICP27
P11688|O54890	vitronectin receptor
56983	GATE‐16::,Bcl‐2::,Tsg101::,VCP::,DHPR::,Sqh::,ura4::,SENP3::,Hsp90::,myosin VI::,MCUR1::,LGG-1::,ROCK1::,LC3B::,Bec-1::,H1R::,PDH::,OFD1::,WIPI2::,WIPI2b::,CALM::,Gzmb::,AGO6::,Inn1::,PHD3X::,CTNS::,Ctns::,Mgat3::,Cx3cr1::,CrkII::,FXR::,HSF1::,GC‐G::,NFATc2::,Phb2::,pat1::,survivin::,miR-210::,rhodopsin::,VEGF-C::,YAP::,AREG::,swi6::,Pep2::,UnaG::,B-Raf::,p38γ::,PAQR3::,OTUB1::,TRPV2::,FOXJ1::,Wnt3a::,IFT172::,TrkB::,Ubc9::,INVS::,TGFR1::,trt1::,7SL::,HuR::,MBP::,Sec61β::,GLI3
P9WQP1	Mtb antigen
22352	apg12::,Apg12p::,ULK1::,Tor::,COPI::,dRagC::,Cg::,dS6K::,Atro::,IL-1β::,Becn1::,NALP3::,BAX::,MCUR1::,Sph1::,LRRK2::,EPG-7::,Rab11a::,FKBP::,XIAP::,survivin::,Atg2::,Atg16L1::,WASH::,PlcA::,MIC6::,PSD-95::,WIPI2b::,mtm‐3::,atg‐2::,ATG16L1::,RBM14::,atntr1‐1::,DTS::,Rag2::,NAV3::,NRPE1::,Terc::,Tfn::,IP3R type 1::,Rubicon::,ω-agatoxin TK::,TRA‐1‐81::,GOT2::,LXR::,GRX2::,Asm::,SOD1::,citrate synthase::,Adck3::,Snc1::,Snq2::,IL-18::,Dnmt2::,Sema3C::,p48::,PHD2::,PHD1::,Mapt::,gephyrin::,HIF-1::,Csf2::,CHCHD10::,SMAC::,abo1::,ral::,NANOS2::,Smac::,CD19::,Sox17::,p38γ::,AKT1::,Stat1::,Cas9::,HlgA::,ATPCL::,PRP5::,snR81::,Stat3::,LIF::,IFT80::,ATM::,CaMKII::,INVS::,SirT7::,Munc18-1::,G45b::,Gli3::,TRIF::,calponin::,Wee1::,SEPT6::,VN::,RAB2A::,FUS::,CXCR5::,CDKA;1::,cycb1;2::,PBL27::,lfabp::,bactin::,NTR::,PolD3::,Gpr124::,CARD14::,A20::,UBQLN4::,ORP5::,Sept2::,SIRT5::,HUWE1::,Apoe::,Chs6::,Trpml1::,amylase::,PTEN
23435	TDP-43::,TDP43::,Tdp-43
P27797	Calreticulin::,calreticulin::,CRT
Q94A06	MKK1
23938	MEK5
P49840	GSK3α
7314|7316|6233|7311	ref(2)P::,TIGAR::,BIK::,TAK1::,epg-1::,gba::,ULK1::,Aβ::,Fas::,Ub::,Foxa2::,kibra::,Car::,DER::,NCOA5::,APPβ::,LXRα::,p48::,TLR2::,ubiquitin::,Ubc9::,Nemo::,G45b::,FNIP2::,Fstl1::,HuR::,miR-34::,MET::,POLD4::,Pfkfb3
