P39052	Dyn2
852069	HEH2::,heh2::,Heh2
16478	junD::,nD-/
855405	Skp2
B5F8P0	GlpG
35390	Mcm10
11221	DUSP10
539060	Serbp1
Q9QZH2	BARD1
O00425	Hnrnpu
Q6KAU8|Q8C0J2	atg16::,Atg16::,ATG16L::,Atg16L::,ATG16
P53349	mekk1
14705	BSCL2
Q9LF33	UDP-Glc
20638	Snrpb
35590	SDH
102898648	Synapsin-1
8312|8313	Axin
P57522	Y447
P53173	Erv4
37444	EFTU
Q86CZ3|Q86LE7	Parkin::,parkin::,PARKIN
Q2YK18	hdeA
P32803	Sed5p
117332	RheB::,Rheb
3932	LCK::,Lck
9694	EMC2
4693	nD-/
Q9U1W1	TFG
P42330	S1R
O43395	pwi
Q99PL6	UBXD1
366265	Rab22a
O95563	Mpc2
18642	pfk1::,Pfk1
A0A0B4RVM6	IgA2
Q1KQ07	STAT6
P06992	16S
O75874	IDH1
P35580	Myosin 10
3166	hβ6
P84228	H3b::,Jmjd2c::,H3 P
769278	CCR6
D7KUJ3	ANAC032::,anac032
P34540	Khc
374078	Birc5
Q8BGE6	Atg4B::,ATG4B
C1D4E4	hdeA
Q60769	Irg1::,TNIP1::,Tnip1
544667	flt1
P53044	Ufd1
P70371	TRF1::,Trf1
340371	NRBP2
O43019	TfR::,syntaxin 6::,apg12::,apg16::,RAR::,Beclin‐1::,Bcl‐2::,PS1::,p55::,Jumpy::,sir2::,wts::,Gal80::,Red1::,srtA::,TAB3::,LC3::,unc‐116::,S6K::,LC3B::,α-hemolysin::,CYP27B1::,EPG-7::,SQST-1::,NeuN::,WIPI1::,Fas::,FIP200::,Atg14::,p22::,Atg8p::,rNDP52::,Atg19::,hrr25‐ts::,Ape1::,PTEN::,ULK1::,CD62::,GRI::,Bak::,Inn1::,Myo1::,STIL::,α-tubulin::,H3::,ZO-1::,EMP1::,Ctns::,Cx3cr1::,IBA-1::,ApoE::,Ltbr::,TMPRSS2::,NFATc1::,Mcm2::,FXR::,miR-27a::,Yip1A::,Phb2::,Mbd2::,Dgcr8::,ERα::,Atg14L::,SOD1::,YAP::,MDH2::,PD-1::,IRE1α::,AChRα::,TNF::,MYH6::,TTN::,Ttn::,Coq9::,pep4::,VDAC::,CCM3::,Rab8B::,SHP‐1::,Rpp30::,PROPEP3::,HIF-1α::,KLF4::,USP9X::,sec15::,sec3::,BRPF3::,Tie2::,TBC1D14::,Tcf7l1::,HDAC6::,MAPK13::,OTUB1::,ABCB8::,NAT10::,HlgC::,KRT23::,Stat3::,Tau::,HK2::,mdi::,NB-3::,PEN-2::,INVS::,munc18-1::,eIF4A2::,VCAM-1::,Nemo::,miR-29b::,α11.2::,WDR41::,Nap1::,WRNIP1::,Mdm12::,Mim1::,HuR::,Pgc1::,CD4::,GSDMD::,Sas-6::,cdkb1;1::,CENPT::,SOX9::,ErbB4::,Chm7::,MAPKKK5::,F9::,ALT::,CASP9::,CARD14::,CD34::,Sept2::,Trpml1::,pericentrin::,mpc1::,p27::,CXCL10::,FADD::,c-Jun::,α-synuclein::,mdx::,Gal4::,Sre2::,Gr1::,Myc::,Ki67::,TP53::,IL-1β::,Hcp::,OVA::,Huwe1::,Tat
Q9QY01	ULK2::,Ulk2
Q05495	HBeAg
P35829	SlpA
Q99JY9	Arp3
P02668	bovine casein
363646	ERAL1::,Eral1
P01586	IL-3
Q9SMX1	PDd
Q5XIT1	EB3
50930	LIGHT
Q8MQJ7	atg1::,Atg1::,ATG1
403615	Ryr2
65027	CHD8
237782	SMCR8::,Smcr8
Q61830	dRagC::,dRagA::,LC3::,htt::,proopiomelanocortin::,Bim::,cathepsin L::,EEA1::,WASH::,large T antigen::,Man II::,MIC1::,ULK1::,DAPK1::,Comp V β::,Ctns::,Mgat3::,miR‐371::,Terc::,hsp42::,SAS‐6::,Rh1::,DER::,Abca1::,GRX2::,PD-1::,SRF::,Snq2::,CD206::,C7::,Tenascin-C::,Anp::,p48::,VEGF-D::,YAP::,Sig5::,FRB::,Lyzs::,KRAS::,ABCB8::,Tbr2::,LukE::,MKKK7::,Prp5::,KLF5::,USP5::,ICAT::,LIF::,eIF4E::,NB-3::,β2AR::,RAD51::,mdm10::,EGOT::,HuR::,cycb1;1::,FBW7α::,heh2::,PKCδ::,REC8::,Trpml1::,EpoR::,EGFR::,LAPTM4B::,Tim23::,SMAD7::,Ccr2::,Tat::,POGLUT1::,Dia1::,Gr1::,Rab5::,p97::,Lysozyme
Q9Y6W6	DUSP10
Q9Y371	Bif-1
27161	apg10::,NPC1::,PS1::,DAPk::,SipB::,rab-10::,SQSTM1::,Jumpy::,FYCO1::,DHPR::,MuRF‐1::,LAMP1::,HMGB1::,htt::,MCL‐1::,ft::,red1::,Pla1::,Cdc2::,ARL8B::,IL-1β::,BAX::,LC3::,mTOR::,FEZ1::,Rap2b::,T3JAM::,LRRK2::,Beclin‐1::,Ubqln4::,p20::,nestin::,Rab12::,LC3B::,PrP::,ROCK1::,DICER::,AGO2::,4E-BP1::,WIPI-1::,Atg14L::,PDI::,Tsc1i::,APN-1::,caspase-3::,ERK2::,TBK1::,DAPK1::,HACE1::,ACS2::,PDHE2/E3 bp::,NDUFS3::,Mfn::,Opa1::,TDP43::,Atg19::,rpt‐3::,IL-8::,oxytocin::,AVP::,MC9::,Clb2::,b3 tubulin::,Zrf1::,EMP1::,CTNS::,Ki-67::,α7::,Dmef2::,PCDH7::,GC‐G::,Oct4::,Wnt4::,p62::,Beclin 1::,Vps15::,TNNT2::,dfmr1::,MDH2::,GOT2::,miR-210::,Atg-1::,Smad6::,Pellino-1::,IL-4::,Coq9::,atg11::,PEP4::,C7::,RBX1::,KLHL3::,CUL3::,GAPDH::,LRRC8D::,PLCB1::,Pep2::,2d2::,Il23::,CD206::,CD68::,Ang-2::,CCM1::,spt16::,ApoE::,Bid::,p21::,CD8::,TET1::,FRB::,RIG-I::,Lyzs::,CtBP2::,Plk4::,NAT10::,PBIP1::,LukE::,GemC1::,MKKK7::,USP5::,Stat3::,TIMM23::,Ku70::,CaMKII::,Rnaseh2b::,FIP3::,SUMO1::,Ubc9::,Raptor::,Fabp1::,Dgat1::,SMCR8::,CLU::,SmD3::,IL-12::,Ago2::,Rab1a::,gp6::,are1::,ADH1::,ERp57::,cdkb1;2::,FBW7α::,BSA::,MAPKKK5::,RAD51::,nat4::,A20::,Smc1β::,REC8::,ORP5::,HUWE1::,Ift88::,GASZ::,GATA-1::,noggin::,Gli2a::,PTCH1::,EGF::,atg2::,Gata6::,cylE::,p27::,CXCR2::,Mfn2::,CD45::,ZEB1::,TWIST1::,iκbα::,RIPK1::,VEGF-A::,gp120::,BACE1::,TP53::,MECA32::,STAT2::,FBXO7::,LMX1A::,CCL2::,F4/80::,α-SMA::,Tat::,AFP
2540637	spo5
B7FRU7	Elp456
921	CD5
10446472	16S
A0A0L6JDU1	Arg-1
851751	hsp42::,Hsp42
P03230	EcoRI
P55899	Atg4A::,DmATG1::,p40phox::,NAF‐1::,Hla::,Src::,Lamp1::,Atg36::,nsP2::,SNX18::,WASH::,Pex14::,LC3::,WIPI2b::,α1::,FXR::,NF-κB::,IRS1::,ERα::,PTBP2::,UBE4B::,COLVII::,DER::,Endothelin-1::,TEAD2::,Mic27::,NAT10::,eIF4A::,AKT1::,B220::,Wbp5::,Ngn1::,ORP5::,SOX2::,Mfn2::,TTP::,c-Jun::,FcRn::,Mdm12::,LLO::,Apc::,HUWE1::,TAB1
1374	CPT1
P38647	GRP75
A0A0T7MIR9	miR-9
G2XT89	biquitin::,biquitin.
O50055	Col1
Q15418|Q96S38|P23443	S6K
Q99KN9	epsinR
440738	LC3‐C::,LC3C
854256	vps21
12615	Cenpa
P25205	Mcm3
43392	huntingtin::,Huntingtin
P61012	Pln
110312	PPCA::,npc1::,API::,GATE‐16::,Htt::,catD::,DAPk::,bec-1::,bag3::,DOR::,LC3B::,IRGM::,Sqa::,GMR::,yki::,mei4::,ura4::,SPBPB2B2.03c::,Tcfeb::,Pex13::,myosin VI::,MCUR1::,NS5A::,COX-2::,SQST-1::,C17E4.2::,Ubqln1::,miR-212::,let-7::,Beclin 1::,GlyP::,GlyS::,WGA::,ATG4B::,DAPK1::,Hace1::,β‐catenin::,p62::,Aldh5a1::,e-cadherin::,LC3::,Ref(2)P::,phm8::,spns1::,TDP43::,SPR-4::,NeuN::,lin‐15B::,SEPA‐1::,ATG‐18::,H-2Db::,Bak::,CPAP::,GNL2::,EMP1::,ApoE::,FGF7::,Coi12p::,PCDH7::,MYH9::,GC‐G::,CNGA3::,Mfa1::,TGF-β::,Mbd2::,LRP6::,Wnt4::,TFG::,spr-5::,expanded::,karst::,KCNJ5::,ABL::,STAT3::,GCN4::,ADAP::,AR::,PCNA::,TP53INP1::,TLR8::,COQ5::,Snc1::,vps21::,Igf1r::,miR-511::,arrestin::,C7::,AID::,IgG2a::,MICA::,Siglec‐5::,Sig5::,Ang-1::,Syt11::,GAL4::,SLFN11::,DND1::,Dnd1::,TRA98::,Bid::,TAg::,HDAC6::,Lyzs::,Nppb::,PITRM1::,NLRP3::,PCM1::,Foxj1::,McIdas::,PRP5::,FoxM1::,Stat3::,Cdca5::,IFT57::,PGC-1β::,Mis18::,Rnaseh2b::,cGAS::,RanBP2::,C3b::,FH::,MCP::,APH-1a::,h3.3::,IgG3::,Fbxl17::,Cx3cr1::,Rab34::,β2AR::,H2B::,ATG3::,PAI-1::,Ape1::,MT1-MMP::,TBX21::,AKT2::,IL-6Rα::,Auroa A::,ERO1Lα::,CRT::,DIS3L2::,Ub::,JAM-A::,MET::,ATM::,H4::,CARD14::,MALT1::,A20::,IL-2Ra::,IFN-γ::,Alkaline phosphatase::,RAD21::,AMPKα::,βIII-tubulin::,SOD1::,Rab5::,YAP::,Musashi-1::,IL-1R1::,MOG::,Gata6::,Coq9::,MCH::,CCL2::,AKT::,EGFR::,AGO2::,IκBα
21748	Terc
P51692|P42229	STAT5
O13988	Pot1
21749	TRF1::,Trf1
P10589	COUP-TFI
P78527	DNA-PK
Q9L9D7	mb1
2533	ADAP
P21763	EcoRI
9782	Matrin3
853188	EFG1
514160	RNF123
19052|51792	PP2A
P18640	C I
14129	FcγRI::,CD64
834284	BKI1
24495	IL-3
407073	EMC2
83558	TEX11::,Tex11
Q9USP1	Elp4
900920	SAGA
Q9UJM8	RDT
12229	BTK
42433	TFAM::,Tfam::,tfam
Q15637	npc1::,α-amylase::,vps-34::,TIGAR::,ubiquitylation::,eye::,Sqa::,Yki::,Map1lc3b::,E1::,WIPI2::,SQST-1::,W07G4.5::,lin‐41::,ATG5::,Beclin 1::,GlyS::,Beclin-1::,Cx43::,titin::,spns1::,rpl‐43::,ERdj3::,prk5::,MET3::,Aβ::,FasL::,Twi1p::,USP21::,IL‐2::,IGF2::,miR‐290::,FUS::,FMR1::,CCR9::,BDCA2::,DER::,miR-210::,CD24::,IL-6::,Coq9::,Aβ40::,Lox::,F4/80::,NPC2::,Npc2::,Nsmce2::,clr4::,Mapt::,calbindin::,T3::,pob3::,Lamin B2::,CD22::,RIG-I::,miR-10b::,Wbp2::,p53::,TLR6::,Stat3::,ALP::,Yap1::,Lrig1::,eIF4A::,Rad23::,β2AR::,IRF3::,CD63::,Rab1a::,NSUN3::,cycb1;1::,MAPKKK5::,igfbp1a::,Flk1::,POLD4::,SYCP1::,noggin::,Ki-67::,KV10.1::,DAPK1::,VGLUT1::,SF-1::,Slc7a11::,NCAM::,cdh5::,EEA1::,YAP
P50280	MMP7
D3ZBG7	DUSP10
P24869	Clb2::,CLB2
Q8C669	Pellino-1
Q9HC62	SENP2
406947	miR-155::,miR-155-5p
291567	Ppargc1b
P27694|P15927|P35244	RPA
Q9NQW1|O94979	Sec31
856607	RPN10
174291	APN-1::,apn-1
Q08BS4	Ezh2
949723	HEL
7405	UVRAG
6300	p38γ::,MAPK12::,Mapk12
P0C6T3	PPCA::,lamp2::,PtdIns 3‐kinase::,tubulin::,Apg5p::,npc1::,ddit3::,LAMP‐2A::,ATG1α::,Vps24::,Aβ42::,NCT::,PS1::,synaptophysin::,TLN::,bec-1::,elav::,Ubiquitin::,Buffy::,UBQLN1::,BAG3::,chymotrypsin::,CaM::,beclin 1::,TRAIL::,α-COPI::,dRagA::,LC3::,TIGAR::,Bcl-2::,VCP::,p38IP::,Atg9::,FYCO1::,LC3B::,HDAC6::,DHR3::,Bnip3::,LAMP::,Atg16A::,Drpr::,dBruce::,SOD2::,HMGB1::,HIF-1α::,ERK1::,Sqa::,Sqh::,NMHC‐IIA::,SIRT1::,LGG-1::,Atro::,Yki::,Mcp5::,ura4::,Mmi1::,SENP3::,hVps34::,IL‐1β::,GRASP55::,TAB3::,BCN1::,M45::,E1::,RAB‐11::,synaptotagmin::,TFEB::,POMC::,α‐MSH::,NRBP2::,TGN46::,Hla::,α-hemolysin::,GAL1::,pex3::,Pex11::,Ret::,Bim::,LC8::,pho13::,Ape1::,ULK1::,cathepsin D::,Myosin VI::,Atg16::,Atg5::,Atg12::,MCUR1::,Gli::,sgk1::,CD16::,LC3A::,DEDD2::,ZK1053.4::,epg-7::,epg-4::,SQST-1::,EPG-7::,W07G4.5::,atg-3::,CREST::,Ubqln1::,Ubqln4::,Ripk2::,RIPK2::,PAT4::,Atg36::,miR-212::,α-MHC::,gba::,PrP::,MelanA::,SNX18::,ROCK1::,Mdm2::,CA VII::,survivin::,Atg2::,Atg18::,Atg8a::,Lactate dehydrogenase::,MVb::,ATG9L1::,TF::,RINT-1::,TOM40::,PLS3::,Vps34::,Fbxo7::,IL‐8::,PP2A::,ATG4B::,MIC1::,Beclin-1::,Bec-1::,atg32::,DAPK1::,CIP2A::,HACE1::,Hace1::,Atg8p::,parkin::,GABARAP::,Atg19::,FKBP15::,Ref(2)P::,nos::,Dcp-1::,Lon::,NADH dehydrogenase(ubiquinone)Fe-S protein 3::,LAMP1::,SPI2::,invG::,Gr-1::,spns1::,Atg16L1::,WIPI1a::,REST::,GL1::,GRL1::,FTH1::,AR::,hrr25‐ts::,lin‐35::,Dendra-tau::,RISP::,L2A::,Gzmb::,AGO6::,secretagogin::,c‐fos::,GRI::,Bax::,CDC14::,Clb2::,centrin-2::,RBM14::,STIL::,C-Nap1::,SAS-6::,dlrrk::,PI5P4K2C::,Ctns::,APP::,IRS-1::,F4/80::,albumin::,KSHV‐TK::,LTβR::,CPEB4::,p53::,NFATc1::,Mcm2::,atntr1::,IFN-γ::,FKF1::,CDF1::,Dmef2::,Rab39::,Dusp5::,Rag2::,CD45::,IL-33::,PCDH7::,AMPKα::,GC‐A::,PINK1::,UBE2D3::,OTUB1::,USP45::,Troponin I::,SHP1::,THEMIS::,NOD2::,Phb2::,Insr::,Ki-67::,IGF2::,NRPE1::,UGT87A2::,miR‐302::,Mbd2::,Terc::,LGR5::,LRP6::,APC::,Axin2::,PLEKHA3::,VWA5A::,Matrin3::,ATP8A1::,Gnd1::,nup42::,VHL::,Hsp42::,TFG::,Sec31A::,Sec16A::,NRBF2::,SlpA::,Signr3::,Karst::,Cut::,dfmr::,BDCA2::,T::,BMP4::,MDH2::,GOT2::,SIRT3::,NCOA5::,LXR::,ASM::,sst1::,IL-6::,SKAP55::,STRA6::,miR-200c::,miR-203::,miR-200::,ACTB::,TH::,Nurr1::,Foxo1::,Pdk4::,CCL2::,MYH6::,CXCR2::,Kras::,COQ9::,Coq9::,Snc1::,vps21::,PEP4::,Kar2::,ypt1-1::,pep4::,Hmg1::,Aβ40::,K-Ras::,Tlr9::,LAMP-1::,esxA::,TNF::,miR-511::,HI0628::,lro1::,TSC22D1::,CCR1::,Npc2::,Mac2::,CD68::,MFG-E8::,Tex11::,Thsb1::,Tnc::,C7::,Dnmt2::,periostin::,CUL3::,NCC::,Villin::,p48::,AID::,PHD1::,NRP1::,SMAD2::,TGF-β1::,Sema3A::,Nsmce2::,VEGF-C::,E6::,SOCS6::,NKG2D::,MICA::,Swi6::,swi6::,TNFα::,CDV3::,FMR2::,gephyrin::,CFL1::,PLCβ1::,UnaG::,DTR::,Klf4::,SMAD1::,CCM1::,ERK5::,Syt11::,AMOTL2::,ral::,GAL4::,SLFN11::,DDX6::,HSP22.0::,HSP18.2::,HRas::,ABL1::,CRKL::,B220::,netrin-1::,CD19::,CD22::,TET2::,TET1::,TBC1D14::,TRAPPC4::,Tcf7l1::,cMyc::,Miz1::,KIF21A::,KIF1C::,TFE3::,Lyzs::,ANKRD1::,TAZ::,ATG14L::,PAQR3::,ERK1/2::,KRAS::,miR-10b::,ABCB8::,GluR2::,CtBP2::,CASP1::,VEGF-A::,Flk1::,CASP11::,Mx2::,NAT10::,PBIP1::,Cas9::,gTbr2::,LukE::,CDC20::,Trpv3::,TRPV2::,GemC1::,chm::,MKKK7::,Prp5::,KLF5::,ICAT::,FoxM1::,Cyclin D1::,ERG::,Stat3::,ESCO1::,Cdca5::,ApoER2::,IFT88::,NDUFB8::,Pou5f1::,BDNF::,Ku70::,CaMKII::,Mis18::,cGAS::,FIP3::,FUNDC1::,MCU::,RanGAP::,Uba2::,eIF4A::,mdi::,MDI::,Ahi1::,Hist1h2bc::,PTPσ::,APH-1::,PDGF-AA::,SirT7::,ATM::,Ptch1::,cytochrome b2::,Get4::,ERK2::,Munc18-1::,CB1R::,DCP1::,miR-29b::,Slc28a2::,Rab34::,α11.2::,β2AR::,GluA1::,C9orf72::,MRE11::,RAD51::,FBH1::,ICP27::,FRS2::,Smad2::,actin::,Collagen1α2::,miR150::,Cdc25C::,Cdk1::,caspase 3::,Ucp1::,ATP8::,FN::,uPAR::,Plg::,Tob55::,Mim1::,CXCL10::,EGOT::,HGF::,VPS39::,p120::,FUS::,S100a4::,Fstl1::,PTEN::,AKT3::,miR-122::,HuR::,CD63::,are1::,GPAT4::,ICOS::,CD62L::,IL-6Rα::,Pou2af1::,CXCR5::,USP19::,CPAP::,Nde1::,Aurora A::,ERO1Lα::,dop-1::,PKCB::,Tbk1::,ABH1::,cycb1;3::,cdkb1;1::,cdkb1;2::,CDKB1;1::,cycb1;2::,ku70::,NS1::,Snap29::,MAD1::,SOX9::,FBW7α::,DUSP2::,UbcD1::,JAM-A::,PBL27::,igfbp1a::,Igfbp1::,lfabp::,NTR::,junD::,Kap1::,NRF2::,JAG1::,CD133::,PKCδ::,Atp5g3::,Rbm26::,Wbp5::,cyclin E::,Ago2::,Prom1::,CARD14::,CYLD::,TEX12::,UBQLN4::,PTPIP51::,Sept2::,MLC::,IDH2::,G6PD::,RAD18::,Tnfaip3::,Chs5::,Bch1::,Dln1::,Epo::,Raf1::,EpoR::,SHIP1::,PALB2::,fft3::,Wip1::,EpCAM::,GSK-3::,Gli2a::,Gli1::,Hrs::,Scl::,Lsd1::,Gata6::,Hand1::,Shp2::,SiglecF::,Igsf10::,USP9X::,miR-21-5p::,RIG-I::,Ub::,UbcH7::,INPP5E::,PRR7::,c-Jun::,TGFB1::,Aβ::,MFN2::,EGF::,Cx3cr1::,MITF::,ZEB1::,PGC-1α::,Tbr2::,HOIP::,Ah::,Cdkn2a::,c-myb::,rbd2::,ReaChR::,Brca1::,Ulk1::,SOD1::,Sig1R::,Mbp::,Nrg1::,Esco1::,IL-2::,p21::,IL-4::,Ccno::,YAP::,NLK::,IL-1β::,CD4::,PTx::,IL-17A::,MOG::,IL-1R1::,MDM2::,E7::,galectin-8::,PEX13::,Rad52::,MYD88::,Tlr3::,IFN-β::,Tek::,VE-cadherin::,p97::,CD34::,NEX::,PITX3::,Pbx1::,PARL::,IFN-α::,IRF3::,PRL2::,CLPP::,Mdm12::,LLO::,GATA4::,IL-13::,Apc::,Huwe1::,MLH1::,HUWE1::,Cd40::,Oct6::,Oct4::,iASPP
P03995	thymidine kinase::,vps4::,Ref(2)P::,SQSTM1::,ptc::,BI‐1::,IL‐1β::,Tom1::,Atg5::,LAMP-1::,GFAP::,nestin::,Atg4B::,galectin3::,WASH::,LAMP2::,HBx::,ATG5::,Idp1::,Atg9::,MCOLN1::,ULK1::,Rpn5::,miR-27a::,IRE1::,NOD2::,ASNS::,Dgcr8::,Terc::,san1::,IP3R1::,α-Spectrin::,FMR1::,cKIT::,GOT2::,Abca1::,sphingosine kinase::,Cd36::,Ttn::,ypt1-1::,MyD88::,4E-BP1::,E6::,swi6::,Siglec‐7::,Rpp30::,gephyrin::,CCM1::,SLFN11::,p53::,Nox4::,Bax::,NRAS::,OTUB1::,miR-10b::,hexokinase::,Akt2::,VEGF-A::,NLRP3::,E2F7::,FoxM1::,Esrrb::,WRNIP1::,RAD51::,ICP27::,Smad2::,Cdc25C::,Pou2af1::,CREST::,Aurora Kinase A::,MALT1::,ORP8::,HUWE1::,Il6::,Nos2::,bre5::,Flk1::,Mfn2::,ZEB1::,TP53::,28S::,PTx::,NURR1::,γ-tubulin::,Mdm12::,GATA4::,Pten::,CD68
99982	KDM1
P41739	HIF-1β
55188	hSyn
247226	PUB
C6XZB6	Heparin
Q8VHY0	NG2::,Ng
P11473	VDR::,vitamin D receptor::,DR3
20873	Plk4
P43432|P43431	aut7::,Apg16p::,OPA1::,Hsc/Hsp70::,LC3::,Parkin::,epsin::,eis::,Sqa::,p50::,LAS1L::,lactate dehydrogenase::,M45::,Rap2b::,p24::,TFEB::,LRRK2::,miR-132::,atrogin-1::,XIAP::,KAP::,CIP2A::,Aldh5a1::,spns1::,LAMP1::,WIPI2b::,TDP43::,GL1::,Atg11::,bp399::,MTM‐3::,Atg8a::,Rcan1::,PRK5::,MC9::,Clb2::,Id1::,Cx3cr1::,ALT::,noc::,Noc::,β5i::,CDF1::,pol32::,rpb1::,Phb2::,R‐spondin::,PRMT5::,Ada::,LXR::,CD8::,ALDH1A::,NE::,c-Myc::,XRCC4::,NPC2::,rhodopsin::,p48::,KRIT1::,AREG::,gephyrin::,FOXA1::,RAD51::,TAZ::,eIF2a::,TfR::,Lyzs::,PITRM1::,Pitrm1::,SOD1::,Pgc1α::,pus1::,IGFBP-4::,CaMKII::,eIF4A::,C3b::,Fus::,DCX::,Rad23::,G45b::,Cdk1::,Dio2::,CXCL10::,TNFα::,RAB2A::,Pou2af1::,Nde1::,Mef2::,Nup170::,H2AX::,GALC::,S100β::,BCL10::,ORP5::,ORP8::,Sept2::,COX4::,Epcam::,atg17::,pho8::,IL-12::,Ret::,BRAF::,ANG-1::,IgG1::,Trp53::,Sig1R::,BACE1::,Nestin::,YAP::,Gata6::,β-catenin::,28S::,Mdm12::,GM-CSF
Q75R65	Jak2
93649	Myocd
O55187	Mpc2
P16547	OM45::,Om45
12525|12526	CD8
560235	CORO2B
P08559	PDH E1a::,PDHE1
Q61663	NCX
239789	GemC1::,Gemc1::,GEMC1
792333	Nanog::,NANOG
Q63604	TrkB
Q9WUA6|Q60823|P31750	Akt::,AKT
P23644	TOM40::,Tom40::,tom40
Q9EPW2	Myocd::,KLF15
P33151	Htt::,bec-1::,ULK1::,SQSTM1::,Atg4B::,DHPR::,GAPDH::,Sqa::,SUMO2::,SUMO::,inlK::,SCOC::,Mvp1::,Atg11::,CYP27B1::,large T−antigen::,CD16::,LC3A::,epg-6::,NeuN::,EndoH::,DICER::,let-7a::,WASH::,NDP52::,PlcA::,EGFR::,H3R::,Ref(2)P::,spr-4::,IBA-1::,KSHV‐TK::,Coi12p::,Twi1p::,Yip1A::,Syk::,Igf1r::,Raver1::,MVH::,PRMT5::,SOX9::,MORF::,Rh1::,caspase::,ypt1-1::,Aβ42::,DEC::,RpoE::,Kcnq1::,LXRα::,VE-cadherin::,AID::,p53::,vascular endothelial cadherin::,IL-2::,swi6::,Siglec‐7::,RepA::,Mapt::,gephyrin::,SERK1::,CD28::,2d2::,VE-CADHERIN::,Ve-cadherin::,NANOS2::,Bax::,MMR::,Acta2::,VEGF-A::,STAT1::,LGN::,Krt5::,STAT5::,MAP2::,MCUb::,eIF4G::,CtBP2::,Ubp6::,α11.2::,CLU::,AKT1::,Pou2af1::,Bcl6::,USP19::,nestin::,FUS::,FBW7α::,U12::,miR-449a::,igfbp1a::,insulin::,Aβ::,nat4::,miR-10b::,HOXD10::,Sororin::,Scl::,Tie2::,Mpc3::,Shp2::,ob::,ANG-1::,Nrg1::,Plk1::,CD45::,MECA32::,PARP-1::,IL-1R1::,Ccm1::,CD34::,α6::,MYC::,Pten::,Apc::,ER::,Klf4::,Miro1
100488068	ProSAP2
Q18825	pY527
17872	GADD34
Q21012	H1.3
P11047|P07942|Q16363	laminin 411
43442	Vha100-1
Q6P698	l-plastin
P84997	myoglobin
84557|81631|440738|Q9H492|Q9BXW4|Q9GZQ8	LC3
21372	TBL1
Q9CRB8	mTFP1
Q8R010	AIMP2
15404	mβ6
Q8TCG1	CIP2A
P23763	VAMP1
6389	SDHA
17729078	12S rRNA
Q9JI51	Vti1
B2GUY2|Q99376	TfR::,TFR
Q3A0R1	TssM P
17274	Rab8a::,Rab8A::,RAB8a
Q5JS13	RALGPS1::,Ralgps1
Q92110	Cyp1a1
P36060	34c-5p
8451	CUL4A
8073	PRL2
69597	AFG3L2
40221	CLC::,Clc
301	ANXA1
A0A0P7W9P4	cylE
F5HB62	KSHV‐TK
30256	c‐Kit
Q28691	Ptger4
