J7HCD4	hCD4
P40999	pMT1
Q9Z132|Q8BFU0|Q8BJ73|Q2TJ95	R‐spondin
Q8BWF0	endophilin::,Ubqln4::,SSADH::,CCM3::,FoxM1
P98086	C1qA
214384	Myocardin::,Myocd
35851	ptc::,patched::,Ptc
Q96JE7	Sec16B
Q9BXL6	CARD14
P13501	RANTES
Q8ND76	cyclin
180311	UNC-51::,unc-51
P70057	LQT1
20586	ZGA
P01111	phl::,ATG-9::,AIN‐1::,FAM21::,SPR-5::,UBE4B::,TNF::,parvalbumin::,Villin::,SMAD1::,SLFN11::,NRAS::,INVS::,Foxp3::,Ret::,YAP::,CCM1::,SMURF1
P40989	Gls2
Q9BZC1	Bruno
Q9W3K5	Gclc
30573	hsp90ab
Q9QZ11	Exo1
13039	CathepsinL
O75792|Q5TBB1|Q8TDP1	RNase H2
397719	caspase 1::,Caspase 1
Q9NG52	Brf::,pol-III
P01033	Mmp12
102141636	TRIM16
558760	taf15
Q52LW3	PARG1
P36002	WIPI1::,dTsc1::,yki::,FEZ1::,ULK1::,let‐60::,EGF::,Pot1::,Hu::,KSHV‐TK::,noc::,hsp42::,SlpA::,Ccno::,LXR::,Coq9::,Atg11::,XRCC4::,Tnc::,CCM3::,F4/80::,sec15::,TBPH::,TRAPPC4::,PEX::,Flk1::,FoxM1::,NB-3::,Ubp6::,FLCN::,caspase-1::,junD::,Prox1a::,RAD21::,diphtheria toxin::,ACSL3::,CD44::,LLO
Q6PE84	Piezo2
Q5ZKY0	Tm1-I
Q6GGU4	GGU
57103	SUMO‐3::,β′-COP::,TIGAR::,HD::,TRAF2::,SCOC::,Sph1::,CENP‐E::,Casp7::,PGL-1::,Atg11::,mdx::,ACTB::,noc::,KLK3::,Twi1p::,α2::,USP21::,Coq9::,Kar2::,XRCC4::,Tlr9::,NPC2::,DTA::,AID::,Aub::,RPA1::,p38γ::,OTUB1::,atpcl::,Runx2::,ChAT::,h3.3::,miR-29b::,Rab34::,Frs2::,Mdm10::,EGOT::,AKT1::,OVA::,USP13::,ku70::,CARD14::,ORP8::,Bch1::,Gli1::,USP9X::,Dio2::,INPP5E::,Ahr::,CD45::,YAP::,S100a4::,TH
O18454	β-1,4-endoglucanase
P00338|P07195	lactate dehydrogenase::,MuRF‐1::,Lactate dehydrogenase::,ADAP::,p48::,MOB1::,Rab13::,TPO::,TrkB::,VHL::,cdc14
P19105|O14950|P24844	MRLC
P01132	npc1::,EGF::,Jumpy::,caspase‐3::,Red1::,TRAF2::,survivin::,Aldh5a1::,GL1::,Cdc14::,Rab39::,PERK::,ubr1::,UBE4B::,miR-210::,SKAP55::,TNF::,SRF::,interleukin-6::,NF1::,Aβ42::,miR-511::,PCBP4::,YAP::,collagen VI::,fkh::,KIF1C::,IFNγ::,LIF::,MT-CO1::,TrkB::,eIF4G::,MDI::,ChAT::,munc18-1::,AKT1::,Aβ::,Gata1::,Pecam1::,NANOG::,Il6::,Dsl3p::,ZEB1::,Ulk1::,ACSL3::,Ahr::,TP53
100316581	miR-1a
855003	erg6‐2::,TIGAR::,MEC‐4::,SCOC::,GRI::,IgG2a::,KRIT1::,TGF-α::,Rab8B::,KLF5::,GSK3β::,ICP27::,BCL2L11
27327	TNRC6A
22926	ATF6
P14568	ASS1
396660	CD74::,Cd74
P32628	α-amylase::,LGG-1::,Dgcr8::,vitronectin receptor::,p48::,PHD1::,Rad23::,msn2::,Nrg1::,HMGA2
43826	activin A::,Activin A
P07981	EG1::,eg1
735654	Nup358
43558	Tace::,TACE
P11836	CD20
Q9WV60	PrP::,GSK-3β::,PDH E2/E3::,Spi::,TNF::,Mekk3::,Munc18-1::,munc18-1::,FBW7::,Oct4::,Ser9
366196	CK2β::,CLS::,RBM14::,PHD2::,LYVE1::,YAP::,Bak::,McIdas::,Sufu::,Rab34::,Bos1::,mapkkk5
313867	LRPPRC
12606	nanos::,ACC::,MITF::,PDI::,IFN-α::,CEBp alpha::,miR-449a::,GEMC1::,MALT1::,Gli1::,net1::,C/EBPα
64436	INPP5E
Q9BUP3	CC3
C0SCV1	ScV1
P49137	MK-2
Q91ZQ5	RPE65
6773	STAT2
9841362	Sec18
Q02053	chymotrypsin::,E1::,SNX18::,CD102::,DTS::,NFATc2::,cyclin D1::,Yap1::,VN::,RAB2A::,AKT3
P45973	HP1a::,HP1y
Q72500	NL4-3
2633	GBP1
Q9GZQ8|Q9H492|Q9BXW4	apg12::,S100β::,LC3::,Tsg101::,NCT::,polyubiquitin::,TNFR1::,OPA1::,daf-2::,FYCO1::,VAMP7::,LC3-II::,InlK::,inlK::,RM45::,Bim::,OXA1::,MCU::,Dystrophin::,Lc3::,Epg5::,LGG-3::,Rab12::,PAT4::,Atg36::,miR-212::,hbl‐1::,gba::,CA VII::,Atg18::,Mfn2::,EEA1::,LC3‐II::,HtrA2::,MIC1::,Hsp78::,β‐catenin::,VPS35::,urh1::,Atg19::,bp399::,LGG‐1::,CD28::,FUNDC1::,GRI::,centrin-2::,Hu::,Cx3cr1::,Ltbr::,IL-5::,Brachyury::,CD69::,glucocorticoid receptor::,HGF::,AGO6::,Terc::,DKK1::,UBE4B::,dfmr1::,CCR9::,BDCA2::,GRX2::,α-SMA::,CTLA-4::,p17::,prb1::,pep4::,CN3::,Tlr9::,TSC22D1::,Tsc22d1::,Iba1::,Catnb::,NRP1::,IgG2a::,Sema3A::,YAP::,MICA::,Siglec‐14::,PROPEP3::,UnaG::,Cxcl10::,CCM1::,Mef2C::,MEKK3::,ral::,GAL4::,SLFN11::,Caspase3::,RAB1B::,TRAPPC8::,TAZ::,HRAS::,VEGF-A::,Tbr2::,HlgC::,Cyclin A::,pus1::,IL-1β::,KLF5::,FoxM1::,LIF::,Cdca5::,ALP::,HIF1α::,Nefl::,Fam193b::,Cav1.4::,NB-3::,Munc18-1::,AGO2::,Me31B::,miR-29b::,FLCN::,α11.2::,c-Myb::,uPA::,U11::,cat-1::,HuR::,PD1::,IL-6Rα::,Nde1::,dop-1::,cycb1;4::,cdkb1;1::,FBW7α::,SOX9::,BSA::,Chm7::,chm7::,bactin::,ins::,PS1::,ARSA::,ste5::,CD34::,thrombopoietin::,eNOS::,GATA-1::,Epo::,Aurora A::,PIK3CA::,Prox1a::,Gli1::,Flk1::,NLRP3::,Shp2::,p27::,Ret::,diphtheria toxin::,TBK1::,CTCF::,APPβ::,iNos::,ATF3::,IL-1R1::,FBXO7::,HDAC6::,CLPP::,Mdm12::,Oct6::,TAB1::,CD68
Q92823	Ankyrin-G
10963499	L2C
Q80TM9	IR1
1639	Dynactin 1
2012	Apg5p::,vps-34::,SENP2::,DHR3::,Sqa::,T3JAM::,TMEM59::,Ape1::,ZK1053.4::,unc-51::,atg-3::,W07G4.5::,miR-212::,nsP2::,lamin B1::,Uba1::,Atg14L1::,PlcA::,rpl‐43::,SEPA‐1::,prk5::,EMP1::,cyclin B1::,Twi1p::,FKF1::,FXR::,MyD88::,Oct4::,Ldha::,Myosin IIA::,SlpA::,Ccno::,HisCl::,miR-210::,type I collagen::,Ttn::,IKKα::,CCR1::,INPP5E::,CCM1::,SMAD1::,SLFN11::,HSP22.0::,ABL1::,JUNB::,Il10::,TESK1::,TRPV2::,LY6C::,Pou5f1::,ChAT::,p150::,GluA1::,uPA::,VN::,Trt1::,Foxp3::,cyclin A::,POLD4::,RAD21::,AML1::,GASZ::,MILI::,Tlk2::,Prox1a::,Scl::,USP9X::,c-Jun::,Aβ::,IL-18::,Hrr25::,MCK::,HOIP::,Gadd45a::,IL-17A::,Mcm2::,Ahr::,IL-4::,TRIF::,Sec7::,β5
P49736	Gli2::,XIAP::,spns1::,Cdc14::,Mcm2::,XRCC4::,MCM2::,CD22::,ALT::,DIS3L2::,Srsf1::,VAMP2
10019	LNK
P09693|P04234|P20963|P07766	CD3
818717	siB2
A0A172PYQ0	IB4
Q62388	Apg10p::,GRASP55::,Hla::,ATM::,GRL2::,SQSTM1::,DTS::,COUP-TFI::,Rh7::,Il13::,Ubc9
Q06305	aerolysin
P26099	TLN::,npr2::,Dcp-1::,NCOA4-1::,Inn1::,HA::,TP53INP1::,FRB::,E2F8::,Stat3::,α11.2::,CCL2::,Dcp1a
Q13615	MTMR3
P12658	Calbindin::,npc1::,vps-34::,calbindin::,Atg16L1::,GAD1::,TDP43::,SIGNR3::,dfmr::,CD31::,Siglec‐5::,eIF2::,IGVL::,ICOS::,CARD14::,GPX1::,RAD21::,TGFB1::,CCM1
8778	HMGB1::,4EBP1::,FAM21::,OFD1::,IBA-1::,Siglec‐5::,Sig5::,CCM1::,Lyzs::,Stat3::,Fus::,Acta2::,CXCR5::,Chs3::,fft2::,IL-17A
20467897	Emr
Q9NS18	th::,Cdc11::,lin‐15B::,MVH::,GRX2::,CD68::,Munc18
851929|P28795	Pex3::,pex3::,PEX3
Q15637	SF-1
850822	Ace2
Q9ESS0	DUSP10
P52823	STC
Q9H1Y0|9474	Atg5::,GATE‐16::,α-amylase::,ATG5::,atg5::,Nemo::,Pin1::,Ubqln4::,Rpl25::,yeh2::,p48::,CD34::,Mdm12
6506	GLT-1a
3519	IGKV
Q6TKU4	TssJ
P56871	cirA
66530	UBXD1
D3ZZ89	TREM2::,Trem2
P07550	Trp53::,Atg32::,phm8::,GRI::,Ctns::,Mgat3::,gi-2::,miR‐125::,pep4::,PTPRN2::,spt16::,HSP22.0::,H3K27Ac::,IGF-I::,Fus::,Rad23::,β2AR::,VN::,α-SMA::,HUWE1::,Il6::,miR-10b::,XIAP::,IFN-β::,MITF::,ARRDC3::,CD4
12447|12448	Aut7p::,Rap1::,cyclin E::,Matrin3::,Cyclin E::,HSP21::,FIP3::,PTPIP51
Q28199	cyclin
723944	Cki1::,VDR::,Ctns::,miRNA‐200c::,miR‐200c::,IL-33::,Yki::,Siglec‐5::,MUC4::,EGOT::,FBW7α::,HUWE1::,ob
O60729	OHC
12483	Bruce::,NMHC‐IIA::,Cdc2::,BI‐1::,MUP::,sqst-1::,ATG-9::,ACS2::,SOD2::,Rpl3::,IL-2::,RBM14::,LAMP2B::,IL-33::,Yip1A::,STAMP2::,ATP8A2::,TFG::,miR-210::,Asm::,PD-1::,miR-203::,Nef::,CCL2::,XRCC4::,apyrase::,angiotensin II::,YAP::,Siglec‐14::,LRRC8D::,SERK2::,MEKK3::,TEAD2::,CD22::,Cd22::,KIF1C::,Tbr2::,LukF-PV::,LukS-PV::,IFT88::,STING::,MCP::,p135::,G45b::,Ugo1::,ter1::,Pgc1::,CXCR5::,SQSTM1::,FBW7α::,LUBEL::,ins::,fft2::,Shp2::,DAPK1::,TWIST1::,Gata6::,Rad53::,OVA::,CD31
P41835	ND5::,V1Vo
Q9WVS0	ICOS
945641	rne
Q66K74	LRPPRC::,V1Vo::,BPY-C12
Q5AKU5	SIM1
A0A109R0T6	FcγR-I::,FcγR-II::,FcγR-III
300768	CORO2B
66615	apg10::,Atg4B::,CHMP2B::,SENP2::,Bak::,CG11347::,ATG4B::,GATE‐16::,dBruce::,IRGM::,Sqa::,ARL8B::,ARL8::,IL‐1β::,rip1::,synaptotagmin::,MICU1::,MCUR1::,Gli2::,let-7::,RINT-1::,Fbxo7::,Hsp78::,LC3β::,ACS2::,Cx26::,Atg19::,spns1::,sma‐3::,Gzmb::,PI5P4K2C::,ROCK::,NFATc2::,EGF::,PrP::,VHL::,SPTAN1::,KCNJ3::,FOXJ1::,Ccno::,GOT2::,β1 Integrin::,Ccnd1::,Mrc1::,VEGF::,Pep2::,ERK5::,MEKK3::,CD4::,p38δ::,Lyzs::,cym1::,VEGF-A::,HlgA::,LIF::,cKit::,Sufu::,VCAM-1::,G45b::,RILP::,Ape1::,FUS::,WIPI2::,GSDMD::,Rbm26::,Tek::,Dln1::,ER::,SMAD7::,IP3R3::,IL-1R1::,Calbindin
38345	MRPS35
Q9U9Y8	NLK
P16872	IL-7::,CD127
P02766	TTR::,NEX::,Nex::,Clx
30181	IFN-γ::,Red1::,Ptch2::,CD63::,Cup1::,Dendra-tau::,FUNDC1::,MORF::,ZEB1::,Ly6G::,Nsmce2::,KIF5B::,TESK1::,FABP1::,VPS39::,PKCB::,ptch2::,Gata6
78473	Apg16p::,APG5::,Fpn::,IL‐1β::,Jumpy::,α1 S::,atrogin‐1::,NS5A::,atg-3::,casp-1::,Atg36::,LAMP-1::,H3R::,Atg11::,AVP::,CDC14::,ZO-1::,noc::,Coi12p::,pat1::,COLVII::,SMAD 5::,SKAP55::,SQSTM1::,Ly6G::,DDX17::,PI3K::,Sema3A::,YAP::,Swi6::,Pep2::,ral::,eIF2a::,OTUB1::,miR-10b::,Wbp2::,Psd-95::,Uba2::,eIF4A::,DDX6::,Cx3cr1::,CARD14::,RBM15::,CCNB2::,miR-132::,ANG-2
Q5MNZ9	WIPI1::,PGL-1::,WIPI1a::,ATP8A1::,Nsmce2::,Mael::,IFN-β::,NLRP3::,cGAS::,IL-1R1
P01871	IGHM
Q99JY9	Beclin1::,VPS35::,Dcp-1::,GRI::,cycb1;3::,CARD14::,Arp3::,CD34::,Apc
6663	Twi1p::,TTN::,BRPF1::,SOX10::,bactin::,GM-CSF
Q9H4A6	GOLPH3
33245	d::,dachs
B7UM99	subunit E
406941	HCC827
100302641	IL-22
A0A0U5JE35	PNK
Q9ES21	sac1
O42349	pax7::,PAX7
20846	apg12::,API::,Hsc/Hsp70::,p38α::,CG11347::,Beclin-1::,htt::,GMR::,SUMO2::,inlK::,LAMP2::,Hla::,70S6K::,survivin::,lamin A/C::,PEX1::,msh-6::,Fap-1::,β‐catenin::,VPS35::,sma‐3::,rpl‐43::,MTM‐3::,CrkL::,FKF1::,NFATc2::,TJP1::,Insr::,Rubicon::,STAT1::,sst1::,Coq9::,ypt1-1::,Kcnq1::,NRP1::,swi6::,tas3::,Mapt::,Pep1::,Ang-2::,F4/80::,CHCHD10::,sec15::,CD69::,M.SssI::,ABCB8::,IL-1R1::,Stat1::,IGCL::,RNAseHI::,SirT7::,Munc18-1::,MALAT1::,FABP1::,Apoe::,Pgc1alpha::,CD127::,HuR::,cdc48::,CXCR5::,Pou2af1::,ku70::,Nrxn1::,NAT4::,Pax6::,Sept2::,KV10.1::,ALP::,Scl::,Shp2::,Ret::,UbcH7::,Nanog::,PS1::,VEGF-A::,hh::,I-SceI::,p97::,CD34::,Huwe1::,Tab1
4851|4853|4854|4855	Notch::,notch::,NOTCH
Q99835	Smo::,SMO::,smo::,Smoothened
Q6P087	COXIII
851520	α-amylase::,DHPR::,Rb::,Sir2::,sir2::,Ift88::,Coq9::,KRIT1::,ral::,ER
Q00597	FANCC
P11835|O54890|P09055	β-integrin
P51668|P61077|P62837	UbcH5
57027	Tace::,TACE
O62807	PPAR-γ
Q03981	Su9
O89110	caspase-8::,LGG-1::,F4/80::,ATHB2::,STAMP2::,AREG::,PALB2::,Act
423208	dll4
7099	4dpi::,hsp90ab
29260	FcγR-I
O88597	Beclin::,API::,Beclin‐1::,DRP-1::,p55::,beclin 1::,beclin‐1::,DAPK::,Beclin 1::,calmodulin::,TRAIL::,Beclin1::,BCL‐2::,DHPR::,cholera toxin::,Beclin-1::,BECN1::,eis::,PELP1::,Becn1::,LAMP2::,RM45::,CK2α::,Pex30::,beclin-1::,BECLIN::,atg32::,rBeclin 1::,C2::,EGF::,dnm1::,GSK-3β::,pnp1::,invG::,PTEN::,NFAT1::,CD44::,Coi12p::,IL-33::,Cacna1a::,kibra::,miR-210::,Ly6G::,SQSTM1::,prb1::,Kcnq1::,C7::,Apc::,Catnb::,Nsmce2::,SYP::,fdft1::,Ccm1::,Erk5::,ral::,GAL4::,CyclophilinB::,CD45::,TRAPPC3::,PCM1::,gTbr2::,mcm6::,NB-3::,AID::,AGO2::,4E-T::,giantin::,Pgc1alpha::,ob::,miR-122::,Pou2af1::,MAPKKK5::,NAA40::,IL-2Rα::,miR-10b::,Scl::,Mek1::,Shp2::,DESMIN::,CD4::,Mfn2::,KRT23::,Ambra::,PGC-1α::,Gadd45a::,ACSL3::,Coq9::,CD34::,HDAC6::,PR1::,CD68
Q9CRA5	GOLPH3
100487601	Sonic Hedgehog
O13807	DDB1
55013	MCUb
101514934	PUB
3760030	shA3
181719	ain‐1::,AIN‐1
S4W588	CITRINE
P59271|P59232|Q42202|P59233|B9DHA6	ubiquitin::,Ubiquitin
P62755	S6
H2R395	RXRa
107951	CDK9
P41391	RNA1
30051	Spdef
58129	FGFR3
34714154	EFG1
397506	rag-1
P33775	pMT1
406906	Sec63::,nanos::,β′-COP::,Jumpy::,myogenin::,Ulk1::,mei4::,ura4::,Map1lc3b::,WIPI-1::,atg38::,Fbxo7::,Atg19::,GL2::,MTM‐3::,Twi1p::,Dusp5::,TJP1::,AGO6::,miR‐290::,COUP-TFII::,CXCR4::,ypt1-1::,Mrc1::,DTA::,MLH1::,vinculin::,AID::,Rab8B::,Swi6::,PLCβ1::,PIP5K1A::,SLFN11::,Irf7::,RAB1B::,PRP5::,snR81::,CD11c::,TrkB::,FUNDC1::,mdi::,NB-3::,GADD45B::,α11.2::,miR-122::,Rab1a::,Pgc1::,CDKB1;1::,NS1::,miR-449a::,bactin::,FIX::,Smc1β::,cofilin::,Flk1::,Mpc1::,POMC::,CD16::,TGFB1::,PR::,FoxM1B::,LYVE1::,IL-1R1::,p97::,Mdm12
P01308	ins::,insulin::,Insulin
Q2QAZ6	COXIII
304966	FcγRIII
Q5R2I8	Apcdd1
Q8CBD1	RIP140
Q60429	Sre2::,sre2
856897	pet122
P9WPQ9	bfr
268903	RIP140
33710	eIF3-S2
2876	Gpx1::,GPX1
574501	miR-208b
P25867	Effete::,UbcD1::,eFF2K
P09951	Synapsin-1::,synapsin-1::,synapsin1
176150	epg-1::,CD69::,E6::,CCM1::,VN
100911498	Xist
Q54875	IgA1::,IgA
Q7TSY6	Bruno
O75460	Apg16p::,Fpn::,ire1::,Atg4A::,rl::,Buffy::,calmodulin::,Jumpy::,TIGAR::,FYCO1::,Hmgb1::,eis::,ARL8B::,ire1α::,IRE1α::,IRE1::,TAB2::,IE1::,synaptotagmin::,Metap2::,FEZ1::,SCOC::,SQST-1::,S5a::,casp-1::,miR-212::,Casp7::,ROCK1::,Car7::,KAP::,ZW10::,Fbxo7::,Ams1::,GL1::,rpl‐43::,PI5P4K2C::,VAMP7::,cyclin B1::,miR‐200c::,Orc2::,PA28αβ::,CG9485::,rpb1::,THEMIS::,ERGIC53::,IRE1-I::,IRE1-II::,FimA::,ST7::,LSD1::,CD25::,SlpA::,β-spectrin::,CBP::,GOT2::,Shi::,miR-210::,MuSK::,Ly6G::,vps21::,Ire1::,PEP4::,EEA-1::,yeh1::,Iba1::,NRP1::,IgG2a::,Siglec‐5::,HIF-1α::,DCP1a::,hsfa2::,CD69::,PEX::,Lyzs::,ABCB8::,cym1::,chm::,IFT54::,FIP3::,AKAP1::,ChAT::,PKCα::,NB-3::,Munc18::,c-Myb::,FRMD6::,αSMA::,gp6::,CXCR5::,Cep152::,dCYLD::,igfbp1a::,insulin::,F9::,MET::,Chk2::,Bub1b::,Gpr124::,fft2::,Gata4::,DAPK1::,CD11c::,miR-132::,ANG-1::,VEGF-A::,Oct4::,CD4::,β6::,Huwe1::,PS1::,CD68
16828	Ldha::,LDHA
740699	SGK2
P31007	Discs large::,Dlg
O75771|O43502|Q06609|O15315	HAC1::,ATG1α::,phl::,ura4::,rad51::,α-Spectrin::,Coq9::,RAD51::,CHCHD10::,CCM1::,IL-12p35::,CARD14::,Gata4::,GPX1::,Rad51
15558526	SDH
P04216	CD90::,Thy1::,Thy
395069	col2a1
19133	Peripherin
Q9NQW1|O94979	Sec31
Q63691	CD14
116645	PLAA
P12544|P10144|P20718|P49863|P51124	granzyme
50507	dnm1::,mdx::,HSP18.2::,Nox4::,Rnaseh2b::,Erv2::,PTPIP51::,YAP::,CD34
Q27268	HEL
517335	NAx
428354	Jmjd2b
8439	neutral sphingomyelinase
51574	7SK
29652393	PNK
3772208	Pri
171116	OPA1::,DAPK::,Opa1::,Aβ::,IGF2
P11413	CK2α::,WIPI2b::,sma‐2::,Ctns::,IBA-1::,Ataxin‐3::,γ2::,Tbr2::,Tead4::,β2AR::,GSDMD::,Gal4::,G6PD::,EpoR::,troponin T
O60331	PIPKIγi5::,PIPKI::,V1Vo
54933	RHBDL2
79127	dck
12048	Bcl‐XL::,Bcl-XL::,BCL‐XL::,Bcl-xL::,Ripk2::,GlyS::,BCL-XL::,Bcl-xl::,PRMT5::,WRNIP1::,Scl::,SERCA
100314459	miR-1a
9102184	CCNA03327
Q49A26	KDM1
Q91XJ1	p19::,Tsg101::,beclin 1::,Beclin 1::,Rab1::,TIGAR::,S6K1::,DHR3::,drpr::,eis::,htt::,dBI‐1::,BCN1::,FEZ1::,Atg36::,EPG-7::,Ripk2::,PrP::,Gal3::,ATG16L1::,Atg38::,GlySi::,LLO::,SesB::,lin‐9::,CRH::,Ctns::,Cx3cr1::,PR-SET7::,α6::,β1i::,CO::,FT::,Dmef2::,FXR::,cIAP::,PARP1::,NFATc2::,Phb2::,PTB::,CDC50A::,IP3R2::,Sec31A::,Dfmrp::,GOT2::,ATG9B::,Sec61::,MYD88::,Mac2::,C7::,Catnb::,YAP::,Rpp30::,CHCHD10::,fkh::,sec8::,SLFN11::,Nppa::,Wbp2::,IRF9::,gTbr2::,TRPV2::,LIF::,Cdca5::,CB1R::,VCAM-1::,CLU::,CXCR5::,PD1::,RNF168::,ste5::,Chs5::,pho8::,Gata6::,NLRP3::,miR-21::,SMAD7::,Cdk1::,Atoh1::,ANG-2
374199	Jak2
107736	MRPL14
16002	SOD1::,PELP1::,KIF2::,inlK::,M45::,PlcB::,caspase3::,atntr1::,USP21::,IGF2::,Wnt4::,Rh1::,SND1::,Snc1::,NRP1::,Mael::,SPOP::,Chm7::,MET::,CARD14::,IL-6
Q0IID7	DUSP10
V5KXV4	N protein
172596	TLN::,NAF‐1::,Atg30::,ach1::,spr-4::,SPR-4::,spr4::,Abca1::,XRCC4::,NSMCE2::,Tom22::,KRAS::,Munc18-1::,dop-1::,miR-449a::,VEGF-A::,SCF::,CCL2
P02776	DN3
30555	fli
42132	Atg8b
616485	CCDC173
P14853	Cox3
Q9C5Z1	eIF3η
Q9GZT9	Ser127
P40065	Mam1::,MAM1
851705	ARO1
O01382	Drice::,caspase
23435	apg16::,p27KIP1::,Aβ::,TDP-43::,daf-15::,p38IP::,BIK::,cortactin::,Atg16L1::,Nestin::,InlK::,TNFα::,FEZ1::,WAC::,T6BP::,TMEM59::,Epg5::,Il18::,CerS1::,SH3PX1::,GABARAP-II::,ATG17::,msh-6::,PlcA::,Fas::,Beclin-1::,Ift88::,hNDP52::,Dcp-1::,SesB::,TDP43::,SPR-4::,bovine serum albumin::,Atg19::,CD62::,TAS3a::,Tub1::,Nop1::,CP110::,NompA::,IRS-1::,noc::,Rpn1::,DTS::,IL‐2::,TRF2::,Sec23::,AST::,NRPE1::,AP::,LDHA::,GM130::,Prmt5::,hsp42::,IP3R1::,caspase-8::,ufd-2::,FMR1::,NUMA::,NCOA5::,TH::,Coq9::,esxA::,ice2::,Tsc22d1::,MEK1::,Sema3C::,KLHL3::,XPB::,YAP::,Sig5::,chk2::,VGAT::,PLCβ1::,ral::,SLFN11::,DND1::,Ctnnb1::,DCLK2::,FRB::,Dyn1::,IL3::,Ezrin::,GemC1::,FOXA1::,GSK3β::,LIF::,Taz::,CaMKII::,Ubc9::,mdi::,Larp::,Fus::,ATM::,cytochrome b2::,IL-10::,Tdp-43::,Apoe::,uPA::,plasminogen::,TIM23::,Trt1::,EGOT::,PKR::,lro1::,CXCR5::,PKCB::,SOX9::,LUBEL::,Chm7::,DNGR-1::,igfbp1a::,Scl::,Bub1b::,LRSAM1::,GEMC1::,DP1::,HIF-2::,CARD14::,REC8::,ORP8::,Chs5::,BSA::,Mfn2::,RAD21::,SRSF1::,GATA6::,Nrg1::,Ahr::,PTx::,PEX13::,Tek::,β5i
A0A0B4LGU9	Taf1
8349|Q16778	H2B
7621479	mSt::,MST
P07724	α-COP::,unc‐57::,Tom1L2::,epg-6::,β‐catenin::,Dendra-tau::,RBM14::,HoxB1::,IKKβ::,Cx3cr1::,albumin::,Albumin::,Alb::,NFATc2::,Col1a::,LXR::,miR-210::,ACTB::,Ttn::,PLCB1::,OTUB1::,Wbp2::,NB-3::,SOX9::,eNOS::,EpoR::,VGLUT1
850351	ldb16
5725938	Pol λ
Q05638	ChiX
212483	Fam193b
30480	gata2
Q8K5B1	IL-31::,IL31
836	Casp3::,casp3::,CASP3
11540002	16S
P25085	anakinra::,IL-1RA
P13688	CD66
30214	huntingtin::,Huntingtin
A3KMN0	RBM14::,Ccno::,fkh::,MKKK7::,miR-122::,SOX9::,RFX3::,IP3R-3::,PLZF::,Bach1::,fft2::,USP9X::,Pep4::,GATA4
P70658	aut2::,apg10::,NMHC‐IIA::,mei4::,Atg36::,CA II::,Fas::,WIPI2::,Cx3cr1::,GC‐G::,CXCR4::,cxcr4::,CD56::,MICA::,Pep2::,ral::,GAL4::,RPA1::,Eomes::,IFT88::,Ubc9::,uPAR::,PKR::,Cxcr4::,IL-2Rα::,CYLD::,IRF3
9627	API::,Atg4A::,Hmgb1::,LAMP2::,PELP1::,MVP::,Sph1::,NeuN::,PA28α::,Insr::,LGR5::,SlpA::,Nsmce2::,Siglec‐7::,HSFA2::,ABL1::,Lyzs::,mdi::,h3.3::,Fbxl17::,α11.2::,PDE10A::,ku70::,HUWE1::,Eng::,CRKL::,Dsl3p::,VAMP2::,pho8::,IL1B::,ATTO550-α-synuclein
Q6DRM0	Wrb::,wrb::,WRB
P43449	Ccna2
31684	Rab39
Q9CY58	Serbp1
Q4K422	PhlF
569087	ERAL1::,Eral1
C8UJY9	RyhB::,ryhB
15186	HDC::,GPC-3::,VEGF-C::,CIP
O13157	Gfra2
Q3SZB4	MCAD
18026	NF200
A1L4K1	SPRY
Q8MQJ7	atg1::,Atg1::,ATG1
38890	nemo::,nmo
24705	RARA
Q61483	Dll1
207	Akt::,let-363::,AKT::,AKT1::,FEZ1::,IBA-1::,Ltbr::,Twi1p::,LGR5::,LXR::,C7::,GPX1::,Akt1::,KAP1::,munc18-1::,PTPIP51::,ARSA::,Alas2::,Bach1::,βIII-tubulin::,cyt b::,v-Glut1::,VSV-M::,Apc::,miR-155-5p::,CD68::,Mfn2KO::,hsp90ab
26801	RNU48
Q0R5R3	nD-/
70008	Ace2
7852	dS6K::,Terc::,CCR9::,CXCR4::,cxcr4::,somatostatin receptor subtype 1::,Coq9::,CD56::,MEKK3::,CD28::,Cxcr4::,G6PDH::,Sec23
P42227	VAMP7::,TNFα::,Stat3::,STAT3::,Atg36::,spns1::,PrP::,RB::,CUL3::,Siglec‐5::,2d2::,Sox17::,snr81::,FLCN::,Fgf21::,BTLA::,Pou2af1::,cdkb1;2::,CDKB1;1::,Ngn1::,UBQLN1::,Scl::,UCP1::,IL-10::,F4/80::,Nestin::,Ahr
Q6BDS1	PU.1
Q9V780	MCU::,SH3PX1::,Mfn2::,ung-1::,Eps15::,lap::,IFT38::,CYLD::,VAMP2::,Coq9
O95273	GCIP
Q80UU2	p38::,P38
13406	ag1-::,ag1
948487	T7 RNAP
P05231	Apg5p::,IL-6::,inlK::,LGG-1::,Ubqln1::,RIPK2::,HBx::,WIPI1a::,AR25Q::,Ctns::,p65::,NEDD4L::,LGR5::,TIP60::,Ccno::,Spitz::,Coq9::,pep4::,Il-6::,PECAM1::,MICA::,LRRC8A::,FoxM1::,LIF::,eIF4E::,C3b::,ABH1::,miR-10b::,SDHA::,CYLD::,GCSF::,Mdm12::,PS1
9623890	Vti1
8643	Cki1::,Ptch2::,phm8::,Ccno::,PHD1::,CTCF::,p150::,ptch2::,MOG::,Coq9
Q865B7	PGC1-α::,Ppargc1a
